【관청이칭표】

異稱	대표명	비고
書筵	世子侍講院	
冑筵	世子侍講院	
天祿司	廩典	
密威廳	當直廳	
大典儀	大都司	
寺典	大道署	
內都監	大道署	
寢園署	大廟署	
東西大悲院	大悲院	
太倉署	大倉署	
都兵馬使	都評議使司	
司水寺	都府署	
都津司	司宰寺	
中書門下省	都僉議府	
門下府	都僉議府	
都僉議使司	中書門下省	
敦寧司	貴族院	
敦寧院	貴族院	
冬官衙門	工曹	
東班內府	都府司	
東山色	掌苑署	
山林園	掌苑署	
東西大悲院	活人署	
東西活人院	活人署	
澄源堂	世子府	
武選司	政色	
武藝廳	武藝別監	
武監	武藝別監	
僉議府	都僉議使司	
別營	摠禦營	
別營房	別營色	
封書別監	封書武監	
內議省	門下府	
內史門下省	門下府	
中書門下省	門下府	
民曹	民部	
民官	戶部	
尙書戶部	戶部	
版圖司	戶部	
法部	刑曹	
法務衙門	刑曹	
辨定院	掌隸院	
漏局	報漏閣	
寶文署	寶文閣	
經筵	寶文閣	
普施院	廣濟院	
本閣	弘文館	
尙乘局	奉車署	
典客寺	禮賓寺	
奉常司	奉常寺	
大常府	奉常寺	
尙藥局	奉醫署	
掌醫署	奉醫署	
尙衣局	奉醫署	
典農司	司農寺	
儲積倉	司農寺	
典農寺	司農寺	
分奉常寺	司農寺	
分院	分廚院	
秘書監	典校寺	고려
承宣院	承政院	조선
秘書院	承政院	조선
秘書監	承政院	조선
文翰署	詞林院	
翰林院	詞林院	
師範署	通禮院	
尙食局	司饔院	
司膳署	司饔院	
尙舍署	司設署	
良醞署	司醞署	
掌醴署	司醞署	
內軍	衛尉寺	
掌衛部	衛尉寺	
司衛寺	衛尉寺	
典醫寺	司儀署	
司宰寺	司宰監	
司津監	司宰監	
都津司	司宰監	
尙書考功司	司績司	
考功司	司績司	
祠曹	尙書祠部	
茶房	司尊院	
司天臺	司天監	
沈藏庫	司圃署	
籌廳	算學廳	
三司	司平府	
尙房	尙衣院	
尙衣司	尙衣院	
尙房司	尙衣院	
庫曹	尙書庫部	
工部	尙書工部	
都官	尙書都官	
兵官	尙書兵部	
軍簿司	尙書兵部	
兵曹	尙書兵部	
政房	尙瑞院	
知印房	尙瑞院	
箚子房	尙瑞院	
尙瑞司	尙瑞院	
尙書省	廣評省	
水曹	尙書水部	
禮官	尙書禮部	
儀曹	尙書禮部	
禮儀司	尙書禮部	
禮曹	尙書禮部	
虞曹	尙書虞部	
選官	尙書吏部	
銓曹	尙書吏部	
吏部	尙書吏部	
理部	尙書刑部	
刑部	尙書刑部	
刑官	尙書刑部	
典法司	尙書刑部	
刑曹	尙書刑部	
奉御	尙乘局	
常平廳	常平倉	
離筵	書筵	
將作監	繕工寺	
繕工監	繕工寺	
繕工司	繕工寺	
大官署	膳官署	
利濟府	船府	
學宮	成均館	
泮宮	成均館	
修城禁火都監	修城禁火司	
輸曹	工曹	
巡軍	義禁府	
巡軍府	義禁府	
巡軍萬戶府	義禁府	
司平巡衛府	義禁府	
巡衛府	義禁府	
義勇巡禁司	義禁府	
徇軍部	軍部	
崇文館	弘文館	
文書監	承文院	
承旨房	印信司	
義興三軍府	承樞府	
巷庭	內謁司	
掖庭	內謁司	
掖庭院	內謁司	
御廳	御營廳	
將御營	御營廳	
正音廳	諺文廳	
典法司	刑曹	
延英殿	集賢殿	
集賢館	集賢殿	
進賢館	集賢殿	
禮賓省	禮賓寺	
客省	禮賓寺	
烏府	司憲府	
五衛都摠府	義興三軍府	
三軍鎭撫所	義興三軍府	
五衛鎭撫所	義興三軍府	
外兵曹	兵曹	
外侍	司僕寺	
禁軍廳	龍虎營	
右倉	豊儲倉	
芸館	校書館	
元鳳省	翰林院	
學士院	翰林院	
鄕所	留鄕所	
鄕廳	留鄕所	
